購入日,支払先,品目,金額,科目,支払方法,事業者番号,取込日時,確認事項,原本画像リンク,AIコメント
2025-04-12,アグリテック農機センター,電動高枝剪定鋏 充電式,128000,農機具費,クレジットカード,T7890123456789,2025-04-12 21:09,固定資産候補,,単価10万円超のため固定資産計上を検討。耐用年数7年想定
2025-04-14,ナチュラル園芸資材,ぶどう袋 緑色 1000枚,8500,諸材料費,銀行振込,T6789012345678,2025-04-14 19:35,,,巨峰用標準袋。例年と同等の数量
2025-04-16,コアエナジー電力,電気代 3月分,10800,動力光熱費,口座引落,T3456789012345,2025-04-16 19:18,按分確認,,自宅兼作業場の共用配電。事業利用率30%で按分推奨
2025-04-18,モバイルセンター駅前店,携帯通信費 3月分,7800,通信費,口座引落,T4567890123456,2025-04-18 20:02,按分確認,,プライベート利用と混在のため事業利用率50%で按分
2025-04-20,オアシス石油,軽トラ燃料 給油,6800,動力光熱費,クレジットカード,,2025-04-20 18:48,按分確認,,軽トラのプライベート利用分を考慮し80%按分が妥当
2025-04-22,グリーンホームセンター,防除衣 防護メガネ 一式,18500,消耗品費,クレジットカード,T2345678901234,2025-04-22 21:30,,,作業者安全資材。耐用年数1年想定の消耗品扱い
2025-04-25,ファーマーズ肥料,葉面散布剤 カルシウム剤 5kg,6500,肥料費,銀行振込,T5678901234567,2025-04-25 19:55,,,生理障害予防の補助資材
2025-04-28,JAみのりの里,受粉用 マメコバチ 巣箱付き,22000,諸材料費,銀行振込,T8901234567890,2025-04-28 20:41,,,りんご受粉用昆虫。種苗費区分も検討可
2025-05-02,JAみのりの里,ぶどう用ジベレリン処理剤,12800,農薬費,銀行振込,T8901234567890,2025-05-02 19:22,,,シャインマスカット種無し処理用。処理記録の保管推奨
2025-05-05,ファーマーズ肥料,殺菌剤 チオファネートメチル 500g×6,13200,農薬費,銀行振込,T5678901234567,2025-05-05 20:14,,,開花期の重要防除。散布記録の保管必須
2025-05-08,ナチュラル園芸資材,摘花用 短刃剪定鋏,9800,消耗品費,クレジットカード,T6789012345678,2025-05-08 21:08,,,作業効率向上目的の追加購入
2025-05-12,コアエナジー電力,電気代 4月分,11500,動力光熱費,口座引落,T3456789012345,2025-05-12 19:33,按分確認,,自宅兼作業場の共用配電。事業利用率30%で按分推奨
2025-05-14,モバイルセンター駅前店,携帯通信費 4月分,7800,通信費,口座引落,T4567890123456,2025-05-14 20:05,按分確認,,プライベート利用と混在のため事業利用率50%で按分
2025-05-16,ファーマーズ肥料,殺虫剤 ネオニコチノイド系 1L,16500,農薬費,銀行振込,T5678901234567,2025-05-16 19:48,,,カメムシ対策。例年5月後半に集中購入の傾向
2025-05-18,オアシス石油,軽トラ燃料 給油,7200,動力光熱費,クレジットカード,,2025-05-18 18:52,按分確認,,軽トラのプライベート利用分を考慮し80%按分が妥当
2025-05-20,アグリテック農機センター,草刈機刃 替え刃 10枚組,4500,消耗品費,現金,T7890123456789,2025-05-20 19:17,,,草刈作業のシーズン本格化に伴う予備購入
2025-05-22,ナチュラル園芸資材,ぶどう傘紙 2000枚,14200,諸材料費,クレジットカード,T6789012345678,2025-05-22 20:38,,,雨除け用。袋掛けと併用
2025-05-24,グリーンホームセンター,麻紐 誘引バンド 各種,4800,消耗品費,現金,T2345678901234,2025-05-24 18:44,,,新梢誘引用の消耗資材
2025-05-26,ファーマーズ肥料,追肥用 化成肥料 20kg×8袋,22400,肥料費,銀行振込,T5678901234567,2025-05-26 19:59,,,着果後の追肥。例年同時期に同等額を投入
2025-05-30,やまなみ果樹組合,摘果講習会 参加費,3000,雑費,現金,T1234567890123,2025-05-30 20:22,,,研修費として認識可能。受講証明書を保管推奨
2025-06-02,ファーマーズ肥料,殺菌剤 イプロジオン水和剤 500g×8,17800,農薬費,銀行振込,T5678901234567,2025-06-02 19:35,,,梅雨期の重要防除。散布記録の保管必須
2025-06-05,ナチュラル園芸資材,りんご用袋 2重袋 5000枚,32000,諸材料費,銀行振込,T6789012345678,2025-06-05 20:18,,,袋掛け作業用。サンふじ向けの主力袋
2025-06-08,ファーマーズ肥料,殺虫剤 ピリダリル水和剤 500g×6,15200,農薬費,銀行振込,T5678901234567,2025-06-08 19:42,,,ハマキムシ対策。散布記録の保管必須
2025-06-12,コアエナジー電力,電気代 5月分,13800,動力光熱費,口座引落,T3456789012345,2025-06-12 19:28,按分確認,,自宅兼作業場の共用配電。事業利用率30%で按分推奨
2025-06-14,モバイルセンター駅前店,携帯通信費 5月分,7800,通信費,口座引落,T4567890123456,2025-06-14 20:09,按分確認,,プライベート利用と混在のため事業利用率50%で按分
2025-06-16,オアシス石油,軽トラ燃料 給油,7800,動力光熱費,クレジットカード,,2025-06-16 18:38,按分確認,,軽トラのプライベート利用分を考慮し80%按分が妥当
2025-06-18,アグリテック農機センター,SS噴霧機 ポンプ修理 部品+工賃,185000,修繕費,銀行振込,T7890123456789,2025-06-18 21:14,固定資産候補,,単価10万円超かつ機能向上を伴う修理。資本的支出該当の可能性
2025-06-20,ナチュラル園芸資材,袋掛けバンドリール×10,8400,消耗品費,クレジットカード,T6789012345678,2025-06-20 19:48,,,袋掛け作業の効率資材
2025-06-22,ファーマーズ肥料,葉面散布剤 カルシウム剤 5kg,7200,肥料費,銀行振込,T5678901234567,2025-06-22 20:32,,,ビターピット対策の補助資材
2025-06-24,グリーンホームセンター,防鳥テープ 反射式 200m,3800,消耗品費,現金,T2345678901234,2025-06-24 18:55,,,収穫期前の防鳥対策準備
2025-06-26,JAみのりの里,棚柱用 アンカー 20本,18000,諸材料費,銀行振込,T8901234567890,2025-06-26 19:42,,,ぶどう棚の補修部材。耐用年数を確認
2025-06-30,ファーマーズ肥料,殺菌剤 モンカット水和剤 500g×6,14800,農薬費,銀行振込,T5678901234567,2025-06-30 20:08,,,黒星病対策の補強剤。散布記録の保管必須
2025-07-03,ファーマーズ肥料,殺菌剤 黒星病用 500g×8,16200,農薬費,銀行振込,T5678901234567,2025-07-03 19:55,,,梅雨明け前後の重点防除。散布記録の保管必須
2025-07-06,ナチュラル園芸資材,ぶどう用 反射シート 50m×2,13500,諸材料費,クレジットカード,T6789012345678,2025-07-06 20:38,,,着色促進用。シーズン後の保管整理を推奨
2025-07-10,コアエナジー電力,電気代 6月分,18200,動力光熱費,口座引落,T3456789012345,2025-07-10 19:42,按分確認,,灌水ポンプ稼働分含む。事業利用率30%だが夏季は事業比率上昇傾向
2025-07-12,モバイルセンター駅前店,携帯通信費 6月分,7800,通信費,口座引落,T4567890123456,2025-07-12 20:14,按分確認,,プライベート利用と混在のため事業利用率50%で按分
2025-07-15,オアシス石油,軽トラ燃料 給油,8400,動力光熱費,クレジットカード,,2025-07-15 18:48,按分確認,,軽トラのプライベート利用分を考慮し80%按分が妥当
2025-07-18,ファーマーズ肥料,殺虫剤 ガ類用 1L,12800,農薬費,銀行振込,T5678901234567,2025-07-18 19:28,,,夏季害虫の防除。散布記録の保管必須
2025-07-22,グリーンホームセンター,冷却タオル 麦わら帽子 等,6500,消耗品費,現金,T2345678901234,2025-07-22 18:35,,,作業者の熱中症対策。安全衛生費として記録推奨
2025-07-25,アグリテック農機センター,灌水ホース 修理部品,5800,修繕費,現金,T7890123456789,2025-07-25 19:18,,,夏季灌水の継続稼働中の修理
2025-07-28,ファーマーズ肥料,殺菌剤 ベンレート水和剤 500g×10,18500,農薬費,銀行振込,T5678901234567,2025-07-28 20:24,,,収穫前最終防除の準備。残効期間を確認
2025-07-30,JAみのりの里,防除暦 栽培資料 2025年版,1500,雑費,現金,T8901234567890,2025-07-30 19:42,,,防除記録と紐付けて保管。GAP認証取得時に必要
2025-08-02,エコパック工業,ぶどう用 2kg化粧箱 300個,24500,諸材料費,銀行振込,T9012345678901,2025-08-02 19:48,,,巨峰出荷用。8月後半に追加発注の可能性あり
2025-08-05,ナチュラル園芸資材,ぶどう用 緩衝材 パッド類,8800,諸材料費,銀行振込,T6789012345678,2025-08-05 20:22,,,出荷時の品質保持資材
2025-08-08,さとやま運輸,8月前半 配送費,18400,荷造運賃,銀行振込,T0123456789012,2025-08-08 21:14,,,出荷シーズン開始。週次集計が有効
2025-08-10,コアエナジー電力,電気代 7月分,22500,動力光熱費,口座引落,T3456789012345,2025-08-10 19:33,按分確認,,夏季の事業比率上昇傾向。月別比較推奨
2025-08-12,モバイルセンター駅前店,携帯通信費 7月分,7800,通信費,口座引落,T4567890123456,2025-08-12 20:08,按分確認,,プライベート利用と混在のため事業利用率50%で按分
2025-08-15,オアシス石油,軽トラ燃料 給油,9200,動力光熱費,クレジットカード,,2025-08-15 18:52,按分確認,,軽トラのプライベート利用分を考慮し80%按分が妥当
2025-08-18,エコパック工業,シャインマスカット用 化粧箱 200個,32000,諸材料費,銀行振込,T9012345678901,2025-08-18 19:55,,,高単価品種向け。化粧箱単価が標準箱より高い
2025-08-20,さとやま運輸,8月後半 配送費,26800,荷造運賃,銀行振込,T0123456789012,2025-08-20 20:48,,,出荷量増加に伴う運賃増。前年同月比較推奨
2025-08-22,クイック宅配便,個別宅配便 月次集計,12400,荷造運賃,クレジットカード,T1098765432109,2025-08-22 19:38,,,個別配送分。直販割合の指標となる
2025-08-25,やまなみ果樹組合,出荷手数料 8月分,14500,販売手数料,銀行振込,T1234567890123,2025-08-25 21:02,,,組合経由出荷分の販売手数料
2025-08-28,ナチュラル園芸資材,ぶどう用 ラベルシール 各種,4800,消耗品費,現金,T6789012345678,2025-08-28 19:24,,,出荷ラベル。シーズン途中の補充
2025-08-30,ファーマーズ肥料,殺菌剤 収穫後 残効型 500g×4,11500,農薬費,銀行振込,T5678901234567,2025-08-30 20:18,,,収穫後の樹体保護。散布記録の保管必須
2025-09-02,さとやま運輸,9月第1週 配送費,32400,荷造運賃,銀行振込,T0123456789012,2025-09-02 21:08,,,ぶどう出荷ピーク+りんご出荷開始の重なり
2025-09-04,エコパック工業,りんご用 5kg化粧箱 500個,38500,諸材料費,銀行振込,T9012345678901,2025-09-04 20:14,,,つがる出荷準備。10月のサンふじ前に補充必要
2025-09-06,クイック宅配便,個別宅配便 月次集計,18800,荷造運賃,クレジットカード,T1098765432109,2025-09-06 19:42,,,個別配送分。直販割合の指標となる
2025-09-08,コアエナジー電力,電気代 8月分,24800,動力光熱費,口座引落,T3456789012345,2025-09-08 19:25,按分確認,,選果作業の電力使用増。事業利用率は通常より高め
2025-09-10,モバイルセンター駅前店,携帯通信費 8月分,7800,通信費,口座引落,T4567890123456,2025-09-10 20:14,按分確認,,プライベート利用と混在のため事業利用率50%で按分
2025-09-12,オアシス石油,軽トラ燃料 給油,9800,動力光熱費,クレジットカード,,2025-09-12 18:48,按分確認,,軽トラのプライベート利用分を考慮し80%按分が妥当
2025-09-14,さとやま運輸,9月第2週 配送費,38200,荷造運賃,銀行振込,T0123456789012,2025-09-14 20:52,,,出荷量増加。週次運賃が前週比+18%
2025-09-16,アルテア自動車,軽トラ用 キャリア 取付工賃込,152000,農機具費,クレジットカード,T2109876543210,2025-09-16 21:25,固定資産候補,,単価10万円超のため固定資産計上を検討。耐用年数4年想定
2025-09-18,エコパック工業,りんご贈答用 化粧箱 200個,22500,諸材料費,銀行振込,T9012345678901,2025-09-18 19:33,,,贈答シーズン向け高品質箱
2025-09-20,さとやま運輸,9月第3週 配送費,34600,荷造運賃,銀行振込,T0123456789012,2025-09-20 20:42,,,出荷ピーク継続。週次比較で運賃推移を確認
2025-09-22,クイック宅配便,個別宅配便 月次集計,22400,荷造運賃,クレジットカード,T1098765432109,2025-09-22 19:18,,,個別配送分。9月は出荷ピークに伴い大幅増
2025-09-24,ナチュラル園芸資材,出荷用テープ 封かんラベル 一式,5600,消耗品費,クレジットカード,T6789012345678,2025-09-24 18:55,,,出荷作業の梱包資材
2025-09-26,やまなみ果樹組合,出荷手数料 9月前半,28400,販売手数料,銀行振込,T1234567890123,2025-09-26 20:38,,,組合経由出荷分の販売手数料。前月比+96%
2025-09-30,さとやま運輸,9月第4週 配送費,36800,荷造運賃,銀行振込,T0123456789012,2025-09-30 21:14,,,出荷ピーク継続。9月の運賃合計が前年同月比較で重要指標
2025-10-02,エコパック工業,サンふじ用 5kg化粧箱 1000個,72000,諸材料費,銀行振込,T9012345678901,2025-10-02 19:48,,,サンふじ収穫の主力箱。月内大量発注の例
2025-10-04,さとやま運輸,10月第1週 配送費,42800,荷造運賃,銀行振込,T0123456789012,2025-10-04 20:55,,,収穫ピーク。9月最終週比+16%
2025-10-05,クイック宅配便,個別宅配便 月次集計,28400,荷造運賃,クレジットカード,T1098765432109,2025-10-05 19:42,,,個別配送が10月ピーク。直販強化の効果検証推奨
2025-10-07,ナチュラル園芸資材,りんご収穫コンテナ 30個,18500,消耗品費,銀行振込,T6789012345678,2025-10-07 20:18,,,収穫作業の必須資材。耐用年数3年想定
2025-10-09,コアエナジー電力,電気代 9月分,22400,動力光熱費,口座引落,T3456789012345,2025-10-09 19:32,按分確認,,選果機稼働分の電力使用増
2025-10-11,モバイルセンター駅前店,携帯通信費 9月分,7800,通信費,口座引落,T4567890123456,2025-10-11 20:14,按分確認,,プライベート利用と混在のため事業利用率50%で按分
2025-10-12,オアシス石油,軽トラ燃料 給油,10200,動力光熱費,クレジットカード,,2025-10-12 18:48,按分確認,,軽トラのプライベート利用分を考慮し80%按分が妥当
2025-10-14,さとやま運輸,10月第2週 配送費,48600,荷造運賃,銀行振込,T0123456789012,2025-10-14 21:02,,,出荷ピーク。週次運賃が今年最高水準
2025-10-16,クイック宅配便,個別宅配便 月次集計,32800,荷造運賃,クレジットカード,T1098765432109,2025-10-16 19:55,,,個別配送が今年ピーク。直販比率の指標
2025-10-18,やまなみ果樹組合,出荷手数料 9月後半,42400,販売手数料,銀行振込,T1234567890123,2025-10-18 20:42,,,組合経由出荷分の販売手数料。出荷量ピーク
2025-10-20,エコパック工業,贈答用 化粧箱 各種 500個,58000,諸材料費,銀行振込,T9012345678901,2025-10-20 19:38,,,贈答シーズン本格化。複数規格混在
2025-10-22,さとやま運輸,10月第3週 配送費,52800,荷造運賃,銀行振込,T0123456789012,2025-10-22 21:14,,,出荷ピーク継続。10月運賃合計が年間最大
2025-10-24,ナチュラル園芸資材,中古選果機 コンベア式,348000,農機具費,銀行振込,T6789012345678,2025-10-24 22:08,固定資産候補,,中古資産・耐用年数の見積もり要。固定資産台帳への登録を検討
2025-10-26,クイック宅配便,個別宅配便 月次集計,28600,荷造運賃,クレジットカード,T1098765432109,2025-10-26 19:32,,,個別配送分の継続。ピーク後の漸減開始
2025-10-28,さとやま運輸,10月第4週 配送費,56200,荷造運賃,銀行振込,T0123456789012,2025-10-28 21:18,,,出荷ピーク後半。10月単月運賃が年間40%相当
2025-10-30,やまなみ果樹組合,出荷手数料 10月前半,38200,販売手数料,銀行振込,T1234567890123,2025-10-30 20:52,,,組合経由出荷分の販売手数料
2025-11-02,エコパック工業,サンふじ用 化粧箱 500個 追加,36500,諸材料費,銀行振込,T9012345678901,2025-11-02 19:48,,,晩生りんごの追加発注
2025-11-05,さとやま運輸,11月第1週 配送費,38400,荷造運賃,銀行振込,T0123456789012,2025-11-05 20:42,,,出荷終盤。前週比減少傾向
2025-11-08,クイック宅配便,個別宅配便 月次集計,24500,荷造運賃,クレジットカード,T1098765432109,2025-11-08 19:35,,,個別配送分。贈答シーズン継続中
2025-11-12,コアエナジー電力,電気代 10月分,19800,動力光熱費,口座引落,T3456789012345,2025-11-12 19:28,按分確認,,選果作業の電力使用減。事業利用率は通常水準へ
2025-11-14,モバイルセンター駅前店,携帯通信費 10月分,7800,通信費,口座引落,T4567890123456,2025-11-14 20:18,按分確認,,プライベート利用と混在のため事業利用率50%で按分
2025-11-16,やまなみ果樹組合,出荷手数料 10月後半,32800,販売手数料,銀行振込,T1234567890123,2025-11-16 20:52,,,組合経由出荷分の販売手数料
2025-11-20,さとやま運輸,11月後半 配送費,28400,荷造運賃,銀行振込,T0123456789012,2025-11-20 21:08,,,出荷終盤。月後半は隔週集計に切替
2025-11-25,ファーマーズ肥料,礼肥 秋肥 15kg×8袋,36500,肥料費,銀行振込,T5678901234567,2025-11-25 19:42,,,収穫後の樹勢回復用施肥。来年度生産費との関連を記録
2025-11-28,オアシス石油,軽トラ燃料 給油,8400,動力光熱費,クレジットカード,,2025-11-28 18:55,按分確認,,軽トラのプライベート利用分を考慮し80%按分が妥当
2025-12-03,ナチュラル園芸資材,防寒 幹巻きテープ 一式,12800,諸材料費,クレジットカード,T6789012345678,2025-12-03 20:14,,,越冬対策の樹体保護資材
2025-12-06,やまなみ果樹組合,出荷手数料 11月分,22400,販売手数料,銀行振込,T1234567890123,2025-12-06 19:48,,,組合経由出荷分の販売手数料。最終月分
2025-12-10,コアエナジー電力,電気代 11月分,12500,動力光熱費,口座引落,T3456789012345,2025-12-10 19:32,按分確認,,出荷終了後の通常水準へ復帰
2025-12-12,モバイルセンター駅前店,携帯通信費 11月分,7800,通信費,口座引落,T4567890123456,2025-12-12 20:14,按分確認,,プライベート利用と混在のため事業利用率50%で按分
2025-12-15,みのり書房,書籍「青色申告の手引き 2025年版」,2400,雑費,現金,,2025-12-15 21:08,,,確定申告準備。年末恒例の購入
2025-12-20,アルテア自動車,軽トラ車検 一式,68500,修繕費,クレジットカード,T2109876543210,2025-12-20 19:42,,,法定費用と整備費用が混在。明細での科目分けが望ましい
2025-12-26,やまなみ果樹組合,年末組合費,12000,雑費,銀行振込,T1234567890123,2025-12-26 20:18,,,年末一括徴収。年初の組合費と別建て
